"Mouse paradigm data file - converted from olf[ile]"
"X"	"Y"	"TIME"	"CLICK"
319	262	0	0
319	262	0.1	0
319	262	0.21	0
319	262	0.32	0
319	262	0.43	0
319	262	0.54	0
318	262	0.65	0
316	261	0.76	0
316	261	0.87	0
316	261	0.98	0
316	254	1.09	0
316	250	1.2	0
316	245	1.31	0
316	241	1.42	0
317	240	1.53	0
317	240	1.64	0
317	239	1.75	0
317	239	1.86	0
317	238	1.97	0
317	238	2.08	0
317	238	2.19	0
317	238	2.3	0
317	238	2.41	0
317	238	2.52	0
317	238	2.63	0
317	238	2.74	0
317	238	2.85	0
317	238	2.96	0
317	238	3.07	0
317	238	3.18	0
317	238	3.29	0
317	238	3.4	0
317	238	3.51	0
317	238	3.62	0
317	238	3.73	0
317	238	3.84	0
317	238	3.95	0
317	238	4.06	0
317	238	4.17	0
317	238	4.28	0
317	238	4.39	0
317	238	4.5	0
317	238	4.61	0
317	238	4.72	0
317	238	4.83	0
317	238	4.94	0
317	238	5.05	0
317	238	5.16	0
317	238	5.27	0
317	238	5.38	0
317	238	5.49	0
317	238	5.6	0
317	238	5.71	0
317	238	5.82	0
317	238	5.93	0
317	238	6.04	0
317	238	6.15	0
317	238	6.26	0
317	238	6.37	0
317	238	6.48	0
317	238	6.59	0
317	238	6.7	0
317	238	6.81	0
317	238	6.92	0
317	238	7.03	0
317	238	7.14	0
317	238	7.25	0
317	238	7.36	0
317	238	7.47	0
317	238	7.58	0
317	238	7.69	0
317	238	7.8	0
317	238	7.91	0
317	238	8.02	0
317	238	8.13	0
317	238	8.24	0
317	238	8.35	0
317	238	8.46	0
317	238	8.57	0
317	238	8.68	0
317	238	8.79	0
317	238	8.9	0
317	238	9.01	0
317	238	9.12	0
317	238	9.23	0
317	238	9.34	0
317	238	9.45	0
317	238	9.56	0
317	238	9.67	0
317	238	9.78	0
317	238	9.89	0
317	238	10	0
317	238	10.1	0
317	238	10.21	0
317	238	10.32	0
317	238	10.43	0
317	238	10.54	0
317	238	10.65	0
317	238	10.76	0
317	238	10.87	0
317	238	10.98	0
317	238	11.09	0
317	238	11.2	0
317	238	11.31	0
317	238	11.42	0
317	239	11.53	0
317	243	11.64	0
318	245	11.75	0
319	246	11.86	0
319	247	11.97	0
319	247	12.08	0
319	247	12.19	0
319	247	12.3	0
319	247	12.41	0
319	247	12.52	0
319	247	12.63	0
319	247	12.74	0
319	247	12.85	0
319	247	12.96	0
319	247	13.07	0
319	247	13.18	0
319	247	13.29	0
319	247	13.4	0
319	247	13.51	0
319	247	13.62	0
319	247	13.73	0
319	247	13.84	0
319	247	13.95	0
319	247	14.06	0
319	247	14.17	0
319	247	14.28	0
319	247	14.39	0
319	247	14.5	0
319	247	14.61	0
319	247	14.72	0
319	247	14.83	0
319	247	14.94	0
319	247	15.05	0
319	247	15.16	0
319	247	15.27	0
319	247	15.38	0
319	247	15.49	0
319	247	15.6	0
319	247	15.71	0
319	247	15.82	0
319	247	15.93	0
319	247	16.04	0
319	247	16.15	0
319	247	16.26	0
319	247	16.37	0
319	247	16.48	0
319	247	16.59	0
319	247	16.7	0
319	247	16.81	0
