#EXP	Thu May 07 16:59:36 2020

"X"	"Y"	"TIME"	"CLICK"	
960	540	0	0
901	485	0.1	0
901	485	0.2	0
901	485	0.3	0
901	485	0.4	0
901	485	0.5	0
901	485	0.6	0
901	485	0.7	0
901	485	0.8	0
901	485	0.9	0
901	485	1	0
901	485	1.1	0
908	481	1.2	0
896	368	1.3	0
883	182	1.4	0
983	60	1.5	0
1141	13	1.6	0
1280	13	1.7	0
1456	21	1.8	0
1674	15	1.9	0
1723	14	2	0
1724	0	2.1	0
1724	0	2.2	0
998	12	2.3	0
722	155	2.4	0
450	173	2.5	0
218	12	2.6	0
200	0	2.7	0
70	65	2.8	0
23	69	2.9	0
11	41	3	0
259	341	3.1	0
489	313	3.2	0
416	325	3.3	0
685	475	3.4	0
712	379	3.5	0
740	386	3.6	0
1168	370	3.7	0
1424	388	3.8	0
1611	500	3.9	0
1527	693	4	0
1239	832	4.1	0
1061	848	4.2	0
1038	842	4.3	0
1039	841	4.4	0
1049	835	4.5	0
1049	835	4.6	0
1052	833	4.7	0
1120	798	4.8	0
1239	698	4.9	0
1245	695	5	0
