#EXP	Thu Sep 23 14:21:13 2004
A test only  for regmouse
"X"	"Y"	"TIME"	"CLICK"	
800	600	0	0
800	574	0.1	0
808	566	0.2	0
865	460	0.3	0
989	318	0.4	0
1315	204	0.5	0
1499	100	0.6	0
1572	33	0.7	0
1578	1	0.8	0
1578	1	0.9	0
1578	1	1	0
1334	107	1.1	0
1126	175	1.2	0
860	96	1.3	0
815	188	1.4	0
941	384	1.5	0
1010	447	1.6	0
1010	447	1.7	0
1010	447	1.8	0
1010	447	1.9	0
1010	447	2	0
1010	447	2.1	0
1010	447	2.2	0
1010	447	2.3	0
1010	447	2.4	0
1010	447	2.5	0
1010	447	2.6	0
1010	447	2.7	0
1010	447	2.8	0
1010	447	2.9	0
1010	447	3	0
1010	447	3.1	0
