#EXP	Sat Feb 26 14:57:56 2000		
X	Y	TIME	CLICK
512	384	0	0
512	384	0.1	0
512	364	0.2	0
512	364	0.3	0
512	364	0.4	0
512	364	0.5	0
512	364	0.6	0
512	364	0.7	0
510	359	0.8	0
510	358	0.9	0
510	357	1	0
510	357	1.1	0
510	357	1.2	0
510	357	1.3	0
510	357	1.4	0
510	357	1.5	0
510	357	1.6	0
510	357	1.7	0
510	357	1.8	0
510	357	1.9	0
510	357	2	0
510	357	2.1	0
511	357	2.2	0
511	357	2.3	0
511	357	2.4	0
511	357	2.5	0
511	357	2.6	0
511	357	2.7	0
511	357	2.8	0
511	357	2.9	0
511	357	3	0
511	357	3.1	0
511	357	3.2	0
511	357	3.3	0
511	357	3.4	0
511	357	3.5	0
511	357	3.6	0
511	357	3.7	0
511	357	3.8	0
511	357	3.9	0
511	357	4	0
511	357	4.1	0
511	357	4.2	0
511	357	4.3	0
511	357	4.4	0
511	357	4.5	0
511	357	4.6	0
511	357	4.7	0
511	354	4.8	0
509	342	4.9	0
507	340	5	0
507	340	5.1	0
507	340	5.2	0
507	340	5.3	0
507	340	5.4	0
507	340	5.5	0
507	340	5.6	0
507	340	5.7	0
507	340	5.8	0
507	340	5.9	0
507	340	6	0
507	340	6.1	0
507	340	6.2	0
507	340	6.3	0
507	340	6.4	0
507	340	6.5	0
507	340	6.6	0
507	340	6.7	0
507	340	6.8	0
505	340	6.9	0
505	340	7	0
505	340	7.1	0
505	340	7.2	0
505	340	7.3	0
505	340	7.4	0
505	340	7.5	0
505	340	7.6	0
505	340	7.7	0
505	340	7.8	0
505	340	7.9	0
505	340	8	0
505	340	8.1	0
505	340	8.2	0
505	340	8.3	0
505	340	8.4	0
505	340	8.5	0
505	340	8.6	0
505	340	8.7	0
505	340	8.8	0
505	340	8.9	0
505	340	9	0
505	340	9.1	0
505	340	9.2	0
505	340	9.3	0
505	340	9.4	0
505	340	9.5	0
505	340	9.6	0
505	340	9.7	0
505	340	9.8	0
505	340	9.9	0
505	340	10	0
505	340	10.1	0
505	340	10.2	0
505	340	10.3	0
505	340	10.4	0
505	340	10.5	0
505	340	10.6	0
503	340	10.7	0
503	340	10.8	0
503	340	10.9	0
503	340	11	0
503	340	11.1	0
503	340	11.2	0
503	340	11.3	0
503	340	11.4	0
503	340	11.5	0
503	340	11.6	0
503	340	11.7	0
503	340	11.8	0
503	340	11.9	0
503	340	12	0
503	340	12.1	0
503	340	12.2	0
503	340	12.3	0
503	340	12.4	0
503	340	12.5	0
503	340	12.6	0
503	340	12.7	0
503	340	12.8	0
503	340	12.9	0
503	340	13	0
503	340	13.1	0
503	340	13.2	0
503	340	13.3	0
503	340	13.4	0
503	340	13.5	0
503	340	13.6	0
503	340	13.7	0
503	340	13.8	0
503	340	13.9	0
503	340	14	0
503	340	14.1	0
503	340	14.2	0
503	340	14.3	0
503	340	14.4	0
503	340	14.5	0
503	340	14.6	0
503	340	14.7	0
503	340	14.8	0
503	340	14.9	0
503	340	15	0
503	340	15.1	0
503	340	15.2	0
503	340	15.3	0
503	340	15.4	0
503	340	15.5	0
503	340	15.6	0
503	340	15.7	0
503	340	15.8	0
503	340	15.9	0
503	340	16	0
503	340	16.1	0
503	340	16.2	0
503	340	16.3	0
503	340	16.4	0
503	340	16.5	0
503	340	16.6	0
503	340	16.7	0
503	340	16.8	0
503	340	16.9	0
503	340	17	0
503	340	17.1	0
483	337	17.2	0
483	337	17.3	0
479	337	17.4	0
469	339	17.5	0
456	342	17.6	0
454	348	17.7	0
454	355	17.8	0
452	361	17.9	0
447	366	18	0
443	374	18.1	0
442	383	18.2	0
441	390	18.3	0
441	391	18.4	0
442	390	18.5	0
442	390	18.6	0
442	390	18.7	0
442	390	18.8	0
442	390	18.9	0
440	392	19	0
440	392	19.1	0
440	392	19.2	0
440	392	19.3	0
440	392	19.4	0
440	392	19.5	0
440	392	19.6	0
440	392	19.7	0
440	392	19.8	0
440	393	19.9	0
440	409	20	0
440	424	20.1	0
440	424	20.2	0
440	424	20.3	0
440	424	20.4	0
440	424	20.5	0
440	424	20.6	0
441	426	20.7	0
448	430	20.8	0
474	454	20.9	0
486	458	21	0
526	465	21.1	0
534	465	21.2	0
544	463	21.3	0
550	457	21.4	0
560	437	21.5	0
