#EXP	Sun Feb 27 15:37:27 2000		
X	Y	TIME	CLICK
512	384	0	0
468	175	0.1	0
465	103	0.2	0
465	116	0.3	0
529	220	0.4	0
559	261	0.5	0
559	287	0.6	0
559	295	0.7	0
559	295	0.8	0
559	295	0.9	0
559	293	1	0
559	290	1.1	0
559	262	1.2	0
559	260	1.3	0
559	260	1.4	0
559	260	1.5	0
559	260	1.6	0
559	260	1.7	0
559	260	1.8	0
559	260	1.9	0
559	260	2	0
559	260	2.1	0
559	260	2.2	0
559	260	2.3	0
559	260	2.4	0
559	260	2.5	0
559	260	2.6	0
559	260	2.7	0
559	260	2.8	0
559	260	2.9	0
559	260	3	0
559	260	3.1	0
558	260	3.2	0
541	256	3.3	0
532	254	3.4	0
529	254	3.5	0
528	256	3.6	0
528	258	3.7	0
522	282	3.8	0
496	338	3.9	0
493	358	4	0
493	362	4.1	0
495	372	4.2	0
506	378	4.3	0
511	378	4.4	0
513	373	4.5	0
513	357	4.6	0
509	353	4.7	0
503	353	4.8	0
500	355	4.9	0
500	359	5	0
500	365	5.1	0
501	371	5.2	0
503	373	5.3	0
507	376	5.4	0
519	381	5.5	0
522	381	5.6	0
523	377	5.7	0
523	369	5.8	0
523	363	5.9	0
519	358	6	0
505	357	6.1	0
500	357	6.2	0
493	360	6.3	0
491	362	6.4	0
491	362	6.5	0
491	362	6.6	0
489	369	6.7	0
489	369	6.8	0
494	373	6.9	0
500	379	7	0
504	381	7.1	0
522	384	7.2	0
533	372	7.3	0
527	332	7.4	0
497	316	7.5	0
477	320	7.6	0
476	334	7.7	0
476	360	7.8	0
482	377	7.9	0
485	383	8	0
492	391	8.1	0
498	395	8.2	0
500	395	8.3	0
504	395	8.4	0
508	393	8.5	0
510	390	8.6	0
510	385	8.7	0
510	381	8.8	0
510	377	8.9	0
505	370	9	0
502	366	9.1	0
498	356	9.2	0
498	355	9.3	0
498	355	9.4	0
503	355	9.5	0
520	357	9.6	0
520	357	9.7	0
520	361	9.8	0
520	365	9.9	0
516	365	10	0
511	365	10.1	0
506	366	10.2	0
500	368	10.3	0
499	370	10.4	0
499	374	10.5	0
499	377	10.6	0
508	382	10.7	0
514	386	10.8	0
518	388	10.9	0
522	388	11	0
522	388	11.1	0
523	388	11.2	0
525	388	11.3	0
526	388	11.4	0
531	388	11.5	0
532	388	11.6	0
534	387	11.7	0
535	387	11.8	0
536	385	11.9	0
536	384	12	0
536	383	12.1	0
536	381	12.2	0
535	380	12.3	0
533	377	12.4	0
529	374	12.5	0
524	369	12.6	0
523	368	12.7	0
521	365	12.8	0
521	365	12.9	0
521	364	13	0
531	364	13.1	0
551	363	13.2	0
553	363	13.3	0
553	363	13.4	0
553	362	13.5	0
553	360	13.6	0
550	354	13.7	0
547	350	13.8	0
545	346	13.9	0
543	343	14	0
538	338	14.1	0
534	334	14.2	0
529	328	14.3	0
528	328	14.4	0
516	325	14.5	0
507	322	14.6	0
503	320	14.7	0
493	319	14.8	0
485	319	14.9	0
482	319	15	0
482	319	15.1	0
479	322	15.2	0
477	326	15.3	0
477	329	15.4	0
477	331	15.5	0
478	333	15.6	0
480	336	15.7	0
491	348	15.8	0
494	350	15.9	0
497	350	16	0
499	350	16.1	0
505	349	16.2	0
509	348	16.3	0
511	348	16.4	0
515	347	16.5	0
521	347	16.6	0
525	347	16.7	0
528	348	16.8	0
539	349	16.9	0
559	352	17	0
573	355	17.1	0
575	358	17.2	0
575	358	17.3	0
571	357	17.4	0
565	354	17.5	0
551	352	17.6	0
547	349	17.7	0
545	346	17.8	0
542	343	17.9	0
537	342	18	0
532	342	18.1	0
529	342	18.2	0
513	342	18.3	0
510	342	18.4	0
509	342	18.5	0
508	343	18.6	0
507	344	18.7	0
497	346	18.8	0
494	347	18.9	0
489	349	19	0
487	349	19.1	0
484	350	19.2	0
482	351	19.3	0
481	352	19.4	0
480	353	19.5	0
479	354	19.6	0
478	354	19.7	0
477	354	19.8	0
475	354	19.9	0
474	355	20	0
474	355	20.1	0
474	355	20.2	0
473	356	20.3	0
472	357	20.4	0
467	358	20.5	0
466	358	20.6	0
455	359	20.7	0
437	359	20.8	0
413	358	20.9	0
403	356	21	0
373	351	21.1	0
372	350	21.2	0
371	345	21.3	0
371	342	21.4	0
371	340	21.5	0
372	338	21.6	0
374	336	21.7	0
378	333	21.8	0
390	331	21.9	0
393	331	22	0
397	329	22.1	0
400	327	22.2	0
404	326	22.3	0
407	325	22.4	0
409	324	22.5	0
412	323	22.6	0
419	322	22.7	0
422	321	22.8	0
432	320	22.9	0
440	318	23	0
441	317	23.1	0
448	315	23.2	0
458	315	23.3	0
465	315	23.4	0
473	315	23.5	0
477	313	23.6	0
481	311	23.7	0
486	309	23.8	0
490	307	23.9	0
493	305	24	0
502	305	24.1	0
503	304	24.2	0
505	304	24.3	0
522	304	24.4	0
524	304	24.5	0
527	304	24.6	0
528	304	24.7	0
528	304	24.8	0
529	305	24.9	0
531	307	25	0
532	309	25.1	0
533	310	25.2	0
534	312	25.3	0
539	316	25.4	0
541	317	25.5	0
547	319	25.6	0
549	320	25.7	0
551	322	25.8	0
554	324	25.9	0
557	326	26	0
558	327	26.1	0
558	328	26.2	0
561	331	26.3	0
565	333	26.4	0
566	334	26.5	0
567	336	26.6	0
568	344	26.7	0
568	346	26.8	0
569	347	26.9	0
569	349	27	0
570	351	27.1	0
572	352	27.2	0
583	356	27.3	0
583	357	27.4	0
583	359	27.5	0
583	361	27.6	0
583	364	27.7	0
583	365	27.8	0
584	366	27.9	0
584	367	28	0
584	368	28.1	0
584	369	28.2	0
584	370	28.3	0
584	370	28.4	0
584	370	28.5	0
583	369	28.6	0
582	367	28.7	0
582	366	28.8	0
582	365	28.9	0
581	361	29	0
579	356	29.1	0
577	352	29.2	0
576	348	29.3	0
574	333	29.4	0
574	332	29.5	0
573	331	29.6	0
572	329	29.7	0
569	326	29.8	0
566	324	29.9	0
564	322	30	0
562	322	30.1	0
560	321	30.2	0
547	318	30.3	0
537	315	30.4	0
535	314	30.5	0
532	314	30.6	0
532	314	30.7	0
529	314	30.8	0
528	314	30.9	0
515	316	31	0
513	317	31.1	0
508	320	31.2	0
505	322	31.3	0
502	324	31.4	0
494	327	31.5	0
491	330	31.6	0
488	333	31.7	0
481	333	31.8	0
476	335	31.9	0
460	336	32	0
451	336	32.1	0
433	336	32.2	0
415	335	32.3	0
408	324	32.4	0
405	306	32.5	0
404	284	32.6	0
404	278	32.7	0
408	273	32.8	0
416	264	32.9	0
433	242	33	0
459	231	33.1	0
473	230	33.2	0
485	234	33.3	0
520	256	33.4	0
540	265	33.5	0
549	270	33.6	0
579	273	33.7	0
588	273	33.8	0
592	273	33.9	0
592	273	34	0
598	273	34.1	0
606	273	34.2	0
606	272	34.3	0
609	272	34.4	0
613	271	34.5	0
615	269	34.6	0
617	265	34.7	0
618	261	34.8	0
618	244	34.9	0
618	228	35	0
617	224	35.1	0
617	223	35.2	0
617	223	35.3	0
617	223	35.4	0
617	223	35.5	0
617	223	35.6	0
617	223	35.7	0
617	223	35.8	0
617	223	35.9	0
617	223	36	0
615	223	36.1	0
612	224	36.2	0
611	225	36.3	0
610	225	36.4	0
610	225	36.5	0
609	225	36.6	0
603	226	36.7	0
602	226	36.8	0
598	227	36.9	0
594	229	37	0
587	232	37.1	0
586	238	37.2	0
591	260	37.3	0
598	286	37.4	0
596	310	37.5	0
580	312	37.6	0
565	311	37.7	0
531	305	37.8	0
504	305	37.9	0
504	319	38	0
506	363	38.1	0
508	377	38.2	0
526	382	38.3	0
543	385	38.4	0
553	386	38.5	0
589	386	38.6	0
623	386	38.7	0
633	385	38.8	0
641	384	38.9	0
642	384	39	0
643	382	39.1	0
643	381	39.2	0
643	377	39.3	0
643	373	39.4	0
643	368	39.5	0
643	366	39.6	0
639	359	39.7	0
638	357	39.8	0
636	354	39.9	0
633	350	40	0
621	341	40.1	0
618	336	40.2	0
613	326	40.3	0
610	318	40.4	0
605	313	40.5	0
602	312	40.6	0
589	307	40.7	0
579	301	40.8	0
567	295	40.9	0
558	291	41	0
556	288	41.1	0
551	274	41.2	0
547	271	41.3	0
546	271	41.4	0
546	271	41.5	0
526	273	41.6	0
518	274	41.7	0
492	274	41.8	0
486	274	41.9	0
480	274	42	0
479	274	42.1	0
471	274	42.2	0
456	274	42.3	0
456	274	42.4	0
455	278	42.5	0
465	286	42.6	0
468	288	42.7	0
473	289	42.8	0
475	288	42.9	0
477	280	43	0
479	275	43.1	0
482	270	43.2	0
487	266	43.3	0
491	264	43.4	0
492	263	43.5	0
500	264	43.6	0
502	266	43.7	0
505	270	43.8	0
509	274	43.9	0
512	277	44	0
516	279	44.1	0
518	280	44.2	0
520	285	44.3	0
522	288	44.4	0
522	291	44.5	0
523	295	44.6	0
525	296	44.7	0
533	303	44.8	0
537	314	44.9	0
537	317	45	0
535	319	45.1	0
517	319	45.2	0
507	319	45.3	0
499	319	45.4	0
495	319	45.5	0
479	322	45.6	0
469	323	45.7	0
452	323	45.8	0
432	325	45.9	0
428	328	46	0
425	337	46.1	0
421	357	46.2	0
419	370	46.3	0
417	382	46.4	0
