#EXP	Wed Mar 01 19:30:57 2000		
X	Y	TIME	CLICK
400	300	0	0
422	275	0.1	0
451	273	0.2	0
451	266	0.3	0
419	260	0.4	0
415	269	0.5	0
414	274	0.6	0
410	290	0.7	0
410	290	0.8	0
407	290	0.9	0
407	290	1	0
407	290	1.1	0
407	290	1.2	0
407	290	1.3	0
407	290	1.4	0
407	290	1.5	0
407	290	1.6	0
407	290	1.7	0
404	290	1.8	0
403	290	1.9	0
401	290	2	0
397	291	2.1	0
397	291	2.2	0
397	291	2.3	0
397	291	2.4	0
397	291	2.5	0
397	291	2.6	0
397	291	2.7	0
397	291	2.8	0
397	291	2.9	0
397	291	3	0
397	291	3.1	0
397	291	3.2	0
397	291	3.3	0
397	291	3.4	0
397	291	3.5	0
397	291	3.6	0
397	291	3.7	0
397	291	3.8	0
397	291	3.9	0
397	291	4	0
397	291	4.1	0
397	291	4.2	0
397	291	4.3	0
397	291	4.4	0
397	291	4.5	0
397	291	4.6	0
397	291	4.7	0
397	291	4.8	0
397	291	4.9	0
397	291	5	0
397	291	5.1	0
370	276	5.2	0
367	268	5.3	0
363	265	5.4	0
336	263	5.5	0
336	263	5.6	0
336	264	5.7	0
336	269	5.8	0
336	276	5.9	0
338	280	6	0
340	283	6.1	0
358	308	6.2	0
358	308	6.3	0
354	306	6.4	0
345	302	6.5	0
345	302	6.6	0
345	302	6.7	0
344	300	6.8	0
344	300	6.9	0
344	300	7	0
344	300	7.1	0
344	300	7.2	0
344	299	7.3	0
382	298	7.4	0
399	301	7.5	0
402	301	7.6	0
402	301	7.7	0
399	300	7.8	0
399	300	7.9	0
398	300	8	0
398	300	8.1	1
398	300	8.2	0
398	300	8.3	0
398	300	8.4	0
398	300	8.5	0
398	300	8.6	0
398	300	8.7	0
398	300	8.8	0
398	300	8.9	0
398	300	9	0
398	300	9.1	0
398	300	9.2	0
398	300	9.3	1
398	300	9.4	0
398	300	9.5	0
398	300	9.6	0
398	300	9.7	0
398	300	9.8	0
398	300	9.9	0
398	300	10	0
398	300	10.1	0
398	300	10.2	0
398	300	10.3	0
398	300	10.4	0
398	300	10.5	0
398	300	10.6	0
398	300	10.7	0
398	300	10.8	0
398	300	10.9	0
398	300	11	0
398	300	11.1	0
398	300	11.2	0
398	300	11.3	0
398	300	11.4	0
398	300	11.5	0
398	300	11.6	0
398	300	11.7	0
398	300	11.8	0
398	300	11.9	0
398	300	12	0
398	300	12.1	0
398	296	12.2	0
398	295	12.3	0
398	295	12.4	0
