#EXP	Sun Feb 13 17:15:53 2000		
X	Y	TIME	CLICK
400	300	0	0
400	281	0.1	0
400	279	0.2	0
392	271	0.3	0
387	267	0.4	0
387	267	0.5	0
387	267	0.6	0
387	268	0.7	0
387	268	0.8	0
386	267	0.9	0
386	267	1	0
386	267	1.1	0
387	267	1.2	0
387	268	1.3	0
387	268	1.4	0
387	268	1.5	0
387	268	1.6	0
387	268	1.7	0
387	267	1.8	0
387	267	1.9	0
387	266	2	0
387	265	2.1	0
387	265	2.2	0
387	267	2.3	0
387	267	2.4	0
387	267	2.5	0
388	266	2.6	0
388	265	2.7	0
389	259	2.8	0
382	229	2.9	0
372	190	3	0
371	177	3.1	0
366	156	3.2	0
380	137	3.3	0
402	101	3.4	0
404	83	3.5	0
405	92	3.6	0
411	108	3.7	0
413	116	3.8	0
416	121	3.9	0
418	121	4	0
420	118	4.1	0
425	108	4.2	0
425	97	4.3	0
425	97	4.4	0
424	102	4.5	0
430	112	4.6	0
434	115	4.7	0
439	118	4.8	0
442	127	4.9	0
445	133	5	0
451	140	5.1	0
456	143	5.2	0
462	148	5.3	0
464	151	5.4	0
465	153	5.5	0
466	155	5.6	0
467	157	5.7	0
467	158	5.8	0
467	158	5.9	0
467	158	6	0
467	158	6.1	0
467	158	6.2	0
467	158	6.3	0
468	158	6.4	0
468	159	6.5	0
468	159	6.6	0
469	159	6.7	0
469	159	6.8	0
469	159	6.9	0
469	159	7	0
469	159	7.1	0
469	159	7.2	0
469	159	7.3	0
469	159	7.4	0
470	159	7.5	0
470	160	7.6	0
470	160	7.7	0
470	160	7.8	0
471	161	7.9	0
472	161	8	0
472	162	8.1	0
472	162	8.2	0
472	162	8.3	0
472	162	8.4	0
472	162	8.5	0
472	162	8.6	0
473	163	8.7	0
474	164	8.8	0
474	164	8.9	0
474	164	9	0
474	164	9.1	0
475	162	9.2	0
475	162	9.3	0
475	162	9.4	0
476	160	9.5	0
476	160	9.6	0
476	160	9.7	0
476	160	9.8	0
476	159	9.9	0
476	158	10	0
476	157	10.1	0
476	157	10.2	0
476	157	10.3	0
