#EXP	Mon Oct 21 23:52:33 2013
Przyk³adowy pierwszy ekran eksperymentu
"X"	"Y"	"TIME"	"CLICK"	
960	540	0	0
960	518	0.1	0
960	518	0.2	0
960	518	0.3	0
960	518	0.4	0
960	518	0.5	0
960	518	0.6	0
960	518	0.7	0
960	518	0.8	0
960	518	0.9	0
960	518	1	0
960	518	1.1	0
960	518	1.2	0
960	518	1.3	0
960	518	1.4	0
1003	510	1.5	0
1203	475	1.6	0
1238	470	1.7	0
1238	470	1.8	0
1238	470	1.9	0
1238	470	2	0
1238	470	2.1	0
1238	470	2.2	0
1238	470	2.3	0
1238	470	2.4	0
1238	470	2.5	0
1238	470	2.6	0
1238	470	2.7	0
1238	470	2.8	0
1238	470	2.9	0
1238	470	3	0
1238	470	3.1	0
1215	486	3.2	0
1177	506	3.3	0
990	667	3.4	0
944	711	3.5	0
964	716	3.6	0
1055	722	3.7	0
1116	750	3.8	0
1125	756	3.9	0
1125	756	4	0
1125	756	4.1	0
1125	756	4.2	0
1125	756	4.3	0
1125	756	4.4	0
1125	756	4.5	0
1125	756	4.6	0
1125	756	4.7	0
1125	756	4.8	0
1125	756	4.9	0
1125	756	5	0
1125	756	5.1	0
1125	756	5.2	0
1125	756	5.3	0
1125	756	5.4	0
1125	756	5.5	0
1125	756	5.6	0
1125	756	5.7	0
1125	756	5.8	0
1125	756	5.9	0
1125	756	6	0
1125	756	6.1	0
1125	756	6.2	0
1125	756	6.3	0
1125	756	6.4	0
1125	756	6.5	0
1125	756	6.6	0
1125	756	6.7	0
1125	756	6.8	0
1125	756	6.9	0
1125	756	7	0
1125	756	7.1	0
1125	756	7.2	0
1125	756	7.3	0
1125	756	7.4	0
1125	756	7.5	0
1125	756	7.6	0
1125	756	7.7	0
1125	756	7.8	0
1125	756	7.9	0
1125	756	8	0
1125	756	8.1	0
1125	756	8.2	0
1125	756	8.3	0
1125	756	8.4	0
1125	756	8.5	0
1125	756	8.6	0
1125	756	8.7	0
1125	756	8.8	0
1112	744	8.9	0
1051	607	9	0
1041	593	9.1	0
1041	593	9.2	0
1157	567	9.3	0
1164	563	9.4	0
1164	563	9.5	0
1164	563	9.6	0
1095	519	9.7	0
1062	500	9.8	0
1062	500	9.9	0
1062	500	10	0
1062	500	10.1	0
1062	500	10.2	0
1062	500	10.3	0
1062	500	10.4	0
1062	500	10.5	0
1062	500	10.6	0
1062	500	10.7	0
1062	500	10.8	0
1062	500	10.9	0
1062	500	11	0
1062	500	11.1	0
1062	500	11.2	0
1062	500	11.3	0
1062	500	11.4	0
1062	500	11.5	0
1062	500	11.6	0
1062	500	11.7	0
