#EXP	Thu Mar 25 00:22:30 1999 [skipped records from 0 to 0]
"  TIME  "	"CLIK"	"DISTANCE"	"V(pix/sec)"	A(pix/sec^2)
   0.100	  0	 229.105	 108.952	  1089.522
   0.200	  0	 229.105	   0.000	  1089.522
   0.300	  0	 229.105	   0.000	     0.000
   0.400	  0	 229.105	   0.000	     0.000
   0.500	  0	 229.105	   0.000	     0.000
   0.600	  0	 229.105	   0.000	     0.000
   0.700	  0	 229.105	   0.000	     0.000
   0.800	  0	 229.105	   0.000	     0.000
   0.900	  0	 229.105	   0.000	     0.000
   1.000	  0	 229.105	   0.000	     0.000
   1.100	  0	 229.105	   0.000	     0.000
   1.200	  0	 229.105	   0.000	     0.000
   1.300	  0	 229.105	   0.000	     0.000
   1.400	  0	 229.105	   0.000	     0.000
   1.500	  0	 229.105	   0.000	     0.000
   1.600	  0	 229.105	   0.000	     0.000
   1.700	  0	 229.105	   0.000	     0.000
   1.800	  0	 229.105	   0.000	     0.000
   1.900	  0	 229.105	   0.000	     0.000
   2.000	  0	 229.105	   0.000	     0.000
   2.100	  0	 229.105	   0.000	     0.000
   2.200	  0	 229.105	   0.000	     0.000
   2.300	  0	 229.105	   0.000	     0.000
   2.400	  0	 229.105	   0.000	     0.000
   2.500	  0	 229.105	   0.000	     0.000
   2.600	  0	 229.105	   0.000	     0.000
   2.700	  0	 229.105	   0.000	     0.000
   2.800	  0	 229.105	   0.000	     0.000
   2.900	  0	 229.105	   0.000	     0.000
   3.000	  0	 229.105	   0.000	     0.000
   3.100	  0	 229.105	   0.000	     0.000
   3.200	  0	 229.105	   0.000	     0.000
   3.300	  0	 229.105	   0.000	     0.000
   3.400	  0	 229.105	   0.000	     0.000
   3.500	  0	 229.105	   0.000	     0.000
   3.600	  0	 229.105	   0.000	     0.000
   3.700	  0	 229.105	   0.000	     0.000
   3.800	  0	 229.105	   0.000	     0.000
   3.900	  0	 229.105	   0.000	     0.000
   4.000	  0	 229.105	   0.000	     0.000
   4.100	  0	 229.105	   0.000	     0.000
   4.200	  0	 229.105	   0.000	     0.000
   4.300	  0	 229.105	   0.000	     0.000
   4.400	  0	 229.105	   0.000	     0.000
   4.500	  0	 229.105	   0.000	     0.000
   4.600	  0	 229.105	   0.000	     0.000
   4.700	  0	 229.105	   0.000	     0.000
   4.800	  0	 229.105	   0.000	     0.000
   4.900	  0	 229.105	   0.000	     0.000
   5.000	  0	 229.105	   0.000	     0.000
   5.100	  0	 229.105	   0.000	     0.000
   5.200	  0	 229.105	   0.000	     0.000
   5.300	  0	 229.105	   0.000	     0.000
   5.400	  0	 229.105	   0.000	     0.000
   5.500	  0	 229.105	   0.000	     0.000
   5.600	  0	 229.105	   0.000	     0.000
   5.700	  0	 229.105	   0.000	     0.000
   5.800	  0	 229.105	   0.000	     0.000
   5.900	  0	 229.105	   0.000	     0.000
   6.000	  0	 229.105	   0.000	     0.000
   6.100	  0	 229.105	   0.000	     0.000
   6.200	  0	 228.267	   8.374	    83.740
   6.300	  0	 228.267	   0.000	    83.740
   6.400	  0	 228.267	   0.000	     0.000
   6.500	  0	 228.267	   0.000	     0.000
   6.600	  0	 228.267	   0.000	     0.000
   6.700	  0	 228.267	   0.000	     0.000
   6.800	  0	 239.069	 108.017	  1080.165
   6.900	  0	 246.868	  77.994	   300.229
   7.000	  0	 238.202	  86.668	    86.743
   7.100	  0	 208.002	 301.992	  2153.239
