#EXP	Thu Oct 24 17:11:23 2013
This is a test for the regmouse program!
"X"	"Y"	"TIME"	"CLICK"	
960	540	0	0
960	518	0.05	0
960	518	0.1	0
960	518	0.15	0
960	518	0.2	0
960	518	0.25	0
960	518	0.3	0
960	518	0.35	0
960	518	0.4	0
960	518	0.45	0
960	518	0.5	0
960	518	0.55	0
960	518	0.6	0
960	518	0.65	0
960	518	0.7	0
960	518	0.75	0
960	518	0.8	0
960	518	0.85	0
960	518	0.9	0
960	518	0.95	0
960	518	1	0
960	518	1.05	0
960	518	1.1	0
960	518	1.15	0
960	518	1.2	0
960	518	1.25	0
960	518	1.3	0
960	518	1.35	0
960	518	1.4	0
960	518	1.45	0
960	518	1.5	0
960	518	1.55	0
960	518	1.6	0
960	518	1.65	0
960	518	1.7	0
960	518	1.75	0
960	518	1.8	0
960	518	1.85	0
960	518	1.9	0
960	518	1.95	0
960	518	2	0
960	518	2.05	0
960	518	2.1	0
960	518	2.15	0
960	518	2.2	0
960	518	2.25	0
960	518	2.3	0
960	518	2.35	0
960	518	2.4	0
960	518	2.45	0
960	518	2.5	0
960	518	2.55	0
960	518	2.6	0
960	518	2.65	0
960	518	2.7	0
960	518	2.75	0
960	518	2.8	0
1879	394	2.85	0
1919	353	2.9	0
1913	354	2.95	0
1526	443	3	0
1499	456	3.05	0
1919	455	3.1	0
1919	464	3.15	0
1888	479	3.2	0
1583	665	3.25	0
1476	791	3.3	0
1476	796	3.35	0
1476	796	3.4	0
1476	796	3.45	0
1476	796	3.5	0
1476	796	3.55	0
1476	796	3.6	0
1476	796	3.65	0
1544	754	3.7	0
1837	512	3.75	0
1873	441	3.8	0
1830	406	3.85	0
1796	414	3.9	0
1796	414	3.95	0
1827	396	4	0
1877	379	4.05	0
1878	378	4.1	0
1878	378	4.15	0
1878	378	4.2	0
1878	378	4.25	0
1878	378	4.3	0
1878	378	4.35	0
1878	378	4.4	0
1878	378	4.45	0
1878	378	4.5	0
1878	378	4.55	0
1878	378	4.6	0
1878	378	4.65	0
1878	378	4.7	0
1878	378	4.75	0
1878	378	4.8	0
1878	378	4.85	0
1878	378	4.9	0
1878	378	4.95	0
1878	378	5	0
1878	378	5.05	0
1878	378	5.1	0
1878	378	5.15	0
1878	378	5.2	0
1878	378	5.25	0
1878	378	5.3	0
1878	378	5.35	0
1878	378	5.4	0
1878	378	5.45	0
1878	378	5.5	0
1878	378	5.55	0
1878	378	5.6	0
1878	378	5.65	0
1878	378	5.7	0
1878	378	5.75	0
1878	378	5.8	0
1878	378	5.85	0
1878	378	5.9	0
1878	378	5.95	0
1878	378	6	0
1878	378	6.05	0
1878	378	6.1	0
1878	378	6.15	0
1878	378	6.2	0
1878	378	6.25	0
1878	378	6.3	0
1878	378	6.35	0
1878	378	6.4	0
1878	378	6.45	0
1878	378	6.5	0
1878	378	6.55	0
1878	378	6.6	0
1878	378	6.65	0
1878	378	6.7	0
1878	378	6.75	0
1878	378	6.8	0
1878	378	6.85	0
1878	378	6.9	0
1878	378	6.95	0
1824	385	7	0
1828	382	7.05	0
1855	347	7.1	0
1891	311	7.15	0
1906	303	7.2	0
1906	303	7.25	0
1905	304	7.3	0
1901	309	7.35	0
1901	309	7.4	0
1901	309	7.45	0
1901	309	7.5	0
1901	309	7.55	0
1901	309	7.6	0
1901	309	7.65	0
1901	309	7.7	0
1901	309	7.75	0
1901	309	7.8	0
1901	309	7.85	0
1901	309	7.9	0
1866	324	7.95	0
1816	350	8	0
1804	360	8.05	0
1800	363	8.1	0
1786	367	8.15	0
1785	368	8.2	0
1772	356	8.25	0
1749	361	8.3	0
1680	381	8.35	0
1657	386	8.4	0
1656	387	8.45	0
1655	387	8.5	0
1655	387	8.55	0
1655	387	8.6	0
1655	387	8.65	0
1655	387	8.7	0
1627	392	8.75	0
1622	394	8.8	0
1608	400	8.85	0
1581	408	8.9	0
1578	409	8.95	0
1578	409	9	0
1363	444	9.05	0
1158	486	9.1	0
1129	489	9.15	0
1131	487	9.2	0
1150	476	9.25	0
1179	467	9.3	0
1208	459	9.35	0
1210	458	9.4	0
1210	458	9.45	0
1210	458	9.5	0
1210	458	9.55	0
1210	458	9.6	0
