#EXP	Wed Apr 16 15:34:15 2003

"X"	"Y"	"TIME"	"CLICK"	
800	600	0	0
800	581	0.1	0
800	581	0.2	0
798	581	0.3	0
844	646	0.4	0
1146	862	0.5	0
1225	926	0.6	0
1228	930	0.7	0
1228	930	0.8	0
1228	930	0.9	0
1223	884	1	0
915	550	1.1	0
715	380	1.2	0
734	489	1.3	0
755	619	1.4	0
748	612	1.5	0
598	398	1.6	0
458	289	1.7	0
432	285	1.8	0
402	274	1.9	0
394	266	2	0
393	266	2.1	0
393	266	2.2	0
393	267	2.3	0
393	267	2.4	0
393	267	2.5	0
393	267	2.6	0
388	270	2.7	0
391	315	2.8	0
515	471	2.9	0
671	571	3	0
881	644	3.1	0
1099	657	3.2	0
1167	405	3.3	0
1019	223	3.4	0
954	357	3.5	0
926	455	3.6	0
912	567	3.7	0
801	693	3.8	0
657	654	3.9	0
397	398	4	0
488	283	4.1	0
612	311	4.2	0
780	543	4.3	0
1010	765	4.4	0
1228	861	4.5	0
1452	707	4.6	0
1236	551	4.7	0
1022	735	4.8	0
842	919	4.9	0
538	1047	5	0
378	1106	5.1	0
314	958	5.2	0
470	916	5.3	0
634	922	5.4	0
818	910	5.5	0
1014	815	5.6	0
1065	705	5.7	0
972	611	5.8	0
925	690	5.9	0
983	790	6	0
984	793	6.1	0
984	795	6.2	0
985	796	6.3	0
988	798	6.4	0
990	796	6.5	0
991	795	6.6	0
991	794	6.7	0
991	792	6.8	0
991	792	6.9	0
992	792	7	0
994	792	7.1	0
995	793	7.2	0
1000	781	7.3	0
1001	743	7.4	0
1003	728	7.5	0
1018	711	7.6	0
1021	712	7.7	0
1028	716	7.8	0
1114	853	7.9	0
1216	1000	8	0
1237	991	8.1	0
1251	981	8.2	0
1253	980	8.3	0
1273	954	8.4	0
1317	898	8.5	0
1318	898	8.6	0
1318	911	8.7	0
1318	914	8.8	0
1216	872	8.9	0
776	590	9	0
672	530	9.1	0
948	484	9.2	0
1116	426	9.3	0
1063	417	9.4	0
1024	470	9.5	0
1031	634	9.6	0
1046	683	9.7	0
1052	683	9.8	0
1056	699	9.9	0
1070	707	10	0
