#EXP	Thu Mar 25 00:22:30 1999
"X"	"Y"	"TIME"	"CLICK"	
512	384	0	0
512	365	0.1	0
512	365	0.2	0
512	365	0.3	0
512	365	0.4	0
512	365	0.5	0
512	365	0.6	0
512	365	0.7	0
512	365	0.8	0
512	365	0.9	0
512	365	1	0
512	365	1.1	0
512	365	1.2	0
512	365	1.3	0
512	365	1.4	0
512	365	1.5	0
512	365	1.6	0
512	365	1.7	0
512	365	1.8	0
512	365	1.9	0
512	365	2	0
512	365	2.1	0
512	365	2.2	0
512	365	2.3	0
512	365	2.4	0
512	365	2.5	0
512	365	2.6	0
512	365	2.7	0
512	365	2.8	0
512	365	2.9	0
512	365	3	0
512	365	3.1	0
512	365	3.2	0
512	365	3.3	0
512	365	3.4	0
512	365	3.5	0
512	365	3.6	0
512	365	3.7	0
512	365	3.8	0
512	365	3.9	0
512	365	4	0
512	365	4.1	0
512	365	4.2	0
512	365	4.3	0
512	365	4.4	0
512	365	4.5	0
512	365	4.6	0
512	365	4.7	0
512	365	4.8	0
512	365	4.9	0
512	365	5	0
512	365	5.1	0
512	365	5.2	0
512	365	5.3	0
512	365	5.4	0
512	365	5.5	0
512	365	5.6	0
512	365	5.7	0
512	365	5.8	0
512	365	5.9	0
512	365	6	0
512	365	6.1	0
511	365	6.2	0
511	365	6.3	0
511	365	6.4	0
511	365	6.5	0
511	365	6.6	0
511	365	6.7	0
525	363	6.8	0
540	352	6.9	0
538	336	7	0
508	329	7.1	0
482	331	7.2	0
475	357	7.3	0
484	401	7.4	0
528	428	7.5	0
574	411	7.6	0
581	355	7.7	0
531	320	7.8	0
499	319	7.9	0
473	349	8	0
471	389	8.1	0
527	425	8.2	0
581	401	8.3	0
571	347	8.4	0
507	318	8.5	0
459	337	8.6	0
457	375	8.7	0
509	414	8.8	0
561	386	8.9	0
566	340	9	0
510	313	9.1	0
481	316	9.2	0
477	341	9.3	0
502	367	9.4	0
572	367	9.5	0
580	309	9.6	0
526	277	9.7	0
500	310	9.8	0
499	352	9.9	0
512	392	10	0
542	407	10.1	0
590	369	10.2	0
575	331	10.3	0
531	312	10.4	0
507	313	10.5	0
485	316	10.6	0
451	319	10.7	0
446	321	10.8	0
444	323	10.9	0
445	343	11	0
435	346	11.1	0
387	330	11.2	0
361	292	11.3	0
363	266	11.4	0
417	267	11.5	0
449	280	11.6	0
493	318	11.7	0
549	327	11.8	0
599	327	11.9	0
637	313	12	0
634	253	12.1	0
575	215	12.2	0
556	295	12.3	0
440	193	12.4	0
484	189	12.5	0
584	234	12.6	0
574	138	12.7	0
484	74	12.8	0
422	66	12.9	0
393	66	13	0
371	6	13.1	0
371	6	13.2	0
509	13	13.3	0
533	5	13.4	0
440	10	13.5	0
477	118	13.6	0
557	226	13.7	0
519	247	13.8	0
379	155	13.9	0
577	100	14	0
633	172	14.1	0
715	280	14.2	0
648	375	14.3	0
530	217	14.4	0
474	180	14.5	0
493	312	14.6	0
571	356	14.7	0
513	436	14.8	0
449	266	14.9	0
559	352	15	0
476	389	15.1	0
551	447	15.2	0
544	367	15.3	0
592	485	15.4	0
608	468	15.5	0
502	578	15.6	0
486	522	15.7	0
604	511	15.8	0
621	652	15.9	0
675	580	16	0
612	671	16.1	0
446	646	16.2	0
435	666	16.3	0
406	668	16.4	0
360	670	16.5	0
335	612	16.6	0
311	638	16.7	0
265	532	16.8	0
240	495	16.9	0
202	431	17	0
205	396	17.1	0
176	214	17.2	0
156	172	17.3	0
156	172	17.4	0
156	172	17.5	0
570	159	17.6	0
570	159	17.7	0
570	159	17.8	0
620	145	17.9	0
684	134	18	0
684	134	18.1	0
782	206	18.2	0
915	304	18.3	0
855	352	18.4	0
747	504	18.5	0
752	476	18.6	0
602	186	18.7	0
587	161	18.8	0
597	140	18.9	0
616	131	19	0
778	138	19.1	0
779	138	19.2	0
794	167	19.3	0
810	255	19.4	0
596	95	19.5	0
499	29	19.6	0
469	29	19.7	0
327	113	19.8	0
207	233	19.9	0
83	281	20	0
