#EXP	Sat Feb 26 18:06:06 2000		
X	Y	TIME	CLICK
512	384	0	0
512	365	0.1	0
512	365	0.2	0
512	365	0.3	0
512	365	0.4	0
512	365	0.5	0
512	365	0.6	0
512	365	0.7	0
513	365	0.8	0
513	365	0.9	0
513	365	1	0
515	364	1.1	0
514	364	1.2	0
514	364	1.3	0
514	364	1.4	0
495	365	1.5	0
445	380	1.6	0
425	380	1.7	0
425	380	1.8	0
425	380	1.9	0
425	380	2	0
425	380	2.1	0
425	380	2.2	0
425	380	2.3	0
427	395	2.4	0
433	589	2.5	0
498	715	2.6	0
540	659	2.7	0
566	660	2.8	0
566	660	2.9	0
566	660	3	0
566	660	3.1	0
566	660	3.2	0
566	660	3.3	0
566	660	3.4	0
566	660	3.5	0
566	660	3.6	0
573	660	3.7	0
573	660	3.8	0
573	660	3.9	0
573	660	4	0
573	660	4.1	0
573	660	4.2	0
573	660	4.3	0
573	660	4.4	0
573	660	4.5	0
573	660	4.6	0
574	644	4.7	0
574	636	4.8	0
574	621	4.9	0
573	601	5	0
571	595	5.1	0
571	577	5.2	0
573	569	5.3	0
573	569	5.4	0
573	569	5.5	0
573	569	5.6	0
573	569	5.7	0
573	568	5.8	0
574	568	5.9	0
574	568	6	0
575	567	6.1	0
575	567	6.2	0
575	567	6.3	0
575	567	6.4	0
575	567	6.5	0
575	567	6.6	0
575	567	6.7	0
575	567	6.8	0
575	567	6.9	0
575	567	7	0
575	567	7.1	0
575	567	7.2	0
575	567	7.3	0
575	567	7.4	0
575	567	7.5	0
575	567	7.6	0
575	567	7.7	0
575	567	7.8	0
575	567	7.9	0
575	567	8	0
575	567	8.1	0
575	567	8.2	0
575	567	8.3	0
575	567	8.4	0
575	567	8.5	0
575	567	8.6	0
575	567	8.7	0
575	567	8.8	0
575	567	8.9	0
575	567	9	0
575	567	9.1	0
575	567	9.2	0
575	567	9.3	0
575	567	9.4	0
575	567	9.5	0
569	564	9.6	0
565	542	9.7	0
559	508	9.8	0
545	475	9.9	0
537	462	10	0
537	460	10.1	0
537	460	10.2	0
537	459	10.3	0
537	459	10.4	0
537	459	10.5	0
537	459	10.6	0
537	459	10.7	0
537	459	10.8	0
537	459	10.9	0
537	459	11	0
537	459	11.1	0
537	459	11.2	0
537	459	11.3	0
537	459	11.4	0
537	459	11.5	0
537	459	11.6	0
537	459	11.7	0
537	459	11.8	0
537	459	11.9	0
537	459	12	0
537	459	12.1	0
537	459	12.2	0
537	459	12.3	0
537	459	12.4	0
537	459	12.5	0
537	459	12.6	0
537	459	12.7	0
537	459	12.8	0
537	459	12.9	0
537	459	13	0
537	459	13.1	0
537	459	13.2	0
537	459	13.3	0
536	457	13.4	0
532	436	13.5	0
529	427	13.6	0
524	405	13.7	0
523	391	13.8	0
520	387	13.9	0
513	384	14	0
513	384	14.1	0
513	384	14.2	0
510	381	14.3	0
510	381	14.4	0
510	381	14.5	0
510	381	14.6	0
510	381	14.7	0
510	381	14.8	0
510	381	14.9	0
510	381	15	0
510	381	15.1	0
510	381	15.2	0
510	381	15.3	0
510	381	15.4	0
510	381	15.5	0
510	381	15.6	0
510	381	15.7	0
510	381	15.8	0
510	381	15.9	0
510	381	16	0
510	381	16.1	0
510	381	16.2	0
510	381	16.3	0
510	381	16.4	0
510	381	16.5	0
510	381	16.6	0
510	381	16.7	0
510	381	16.8	0
510	381	16.9	0
510	381	17	0
510	381	17.1	0
510	381	17.2	0
510	381	17.3	0
510	381	17.4	0
510	381	17.5	0
510	381	17.6	0
510	381	17.7	0
510	381	17.8	0
510	381	17.9	0
510	381	18	0
510	381	18.1	0
510	381	18.2	0
510	381	18.3	0
510	381	18.4	0
510	381	18.5	0
510	381	18.6	0
510	381	18.7	0
510	381	18.8	0
510	381	18.9	0
510	381	19	0
510	381	19.1	0
510	381	19.2	0
510	381	19.3	0
510	381	19.4	0
510	381	19.5	0
510	381	19.6	0
510	381	19.7	0
510	381	19.8	0
510	381	19.9	0
510	381	20	0
510	381	20.1	0
510	381	20.2	0
510	381	20.3	0
510	381	20.4	0
510	381	20.5	0
510	381	20.6	0
510	381	20.7	0
510	381	20.8	0
510	381	20.9	0
510	381	21	0
510	381	21.1	0
510	381	21.2	0
510	381	21.3	0
510	381	21.4	0
510	381	21.5	0
510	381	21.6	0
510	381	21.7	0
510	381	21.8	0
510	381	21.9	0
510	381	22	0
510	381	22.1	0
510	381	22.2	0
510	381	22.3	0
510	381	22.4	0
510	381	22.5	0
510	381	22.6	0
510	381	22.7	0
510	381	22.8	0
510	381	22.9	0
510	381	23	0
510	381	23.1	0
510	381	23.2	0
510	381	23.3	0
510	381	23.4	0
510	381	23.5	0
510	381	23.6	0
510	381	23.7	0
510	381	23.8	0
510	381	23.9	0
510	381	24	0
510	381	24.1	0
510	381	24.2	0
510	381	24.3	0
510	381	24.4	0
510	381	24.5	0
510	381	24.6	0
510	381	24.7	0
510	381	24.8	0
510	381	24.9	0
510	381	25	0
510	381	25.1	0
510	381	25.2	0
510	381	25.3	0
510	381	25.4	0
510	381	25.5	0
510	381	25.6	0
510	381	25.7	0
510	381	25.8	0
510	381	25.9	0
510	381	26	0
510	381	26.1	0
510	381	26.2	0
510	381	26.3	0
510	381	26.4	0
510	381	26.5	0
510	381	26.6	0
510	381	26.7	0
510	381	26.8	0
510	381	26.9	0
510	381	27	0
510	381	27.1	0
510	381	27.2	0
510	381	27.3	0
510	381	27.4	0
510	381	27.5	0
510	381	27.6	0
510	381	27.7	0
510	381	27.8	0
510	381	27.9	0
510	381	28	0
510	381	28.1	0
510	381	28.2	0
510	381	28.3	0
510	381	28.4	0
510	381	28.5	0
510	381	28.6	0
510	381	28.7	0
510	381	28.8	0
510	381	28.9	0
510	381	29	0
510	381	29.1	0
510	381	29.2	0
510	381	29.3	0
510	381	29.4	0
510	381	29.5	0
510	381	29.6	0
510	381	29.7	0
510	381	29.8	0
510	381	29.9	0
510	381	30	0
510	381	30.1	0
510	381	30.2	0
510	381	30.3	0
510	381	30.4	0
510	381	30.5	0
510	381	30.6	0
510	381	30.7	0
510	381	30.8	0
510	381	30.9	0
510	381	31	0
510	381	31.1	0
510	381	31.2	0
510	381	31.3	0
510	381	31.4	0
510	381	31.5	0
510	381	31.6	0
510	381	31.7	0
510	381	31.8	0
510	381	31.9	0
510	381	32	0
510	381	32.1	0
510	381	32.2	0
510	381	32.3	0
510	381	32.4	0
510	381	32.5	0
510	381	32.6	0
510	381	32.7	0
510	381	32.8	0
510	381	32.9	0
510	381	33	0
510	381	33.1	0
510	381	33.2	0
510	381	33.3	0
510	381	33.4	0
510	381	33.5	0
510	381	33.6	0
510	381	33.7	0
510	381	33.8	0
510	381	33.9	0
510	381	34	0
510	381	34.1	0
510	381	34.2	0
510	381	34.3	0
510	381	34.4	0
510	381	34.5	0
510	381	34.6	0
