#EXP	Sun Feb 27 15:59:14 2000		
X	Y	TIME	CLICK
512	384	0	0
517	341	0.1	0
517	340	0.2	0
549	248	0.3	0
549	234	0.4	0
549	234	0.5	0
548	198	0.6	0
538	197	0.7	0
514	241	0.8	0
514	297	0.9	0
514	297	1	0
515	297	1.1	0
515	297	1.2	0
516	297	1.3	0
516	297	1.4	0
516	297	1.5	0
516	297	1.6	0
516	296	1.7	0
516	296	1.8	0
516	296	1.9	0
516	296	2	0
516	296	2.1	0
516	296	2.2	0
516	296	2.3	0
516	296	2.4	0
516	296	2.5	0
516	296	2.6	0
516	296	2.7	0
516	296	2.8	0
516	296	2.9	0
516	296	3	0
516	296	3.1	0
516	296	3.2	0
516	296	3.3	0
516	296	3.4	0
516	296	3.5	0
516	296	3.6	0
516	296	3.7	0
516	296	3.8	0
516	296	3.9	0
516	296	4	0
516	296	4.1	0
516	296	4.2	0
516	296	4.3	0
516	296	4.4	0
516	296	4.5	0
516	296	4.6	0
516	296	4.7	0
516	296	4.8	0
516	296	4.9	0
516	296	5	0
516	296	5.1	0
516	296	5.2	0
516	296	5.3	0
516	296	5.4	0
516	296	5.5	0
516	296	5.6	0
516	296	5.7	0
516	296	5.8	0
516	296	5.9	0
516	296	6	0
516	296	6.1	0
516	296	6.2	0
516	296	6.3	0
516	296	6.4	0
516	296	6.5	0
516	296	6.6	0
516	296	6.7	0
516	296	6.8	0
516	296	6.9	0
516	296	7	0
516	296	7.1	0
516	296	7.2	0
516	296	7.3	0
516	296	7.4	0
516	296	7.5	0
516	296	7.6	0
516	296	7.7	0
516	296	7.8	0
516	296	7.9	0
516	296	8	0
516	296	8.1	0
516	296	8.2	0
516	296	8.3	0
516	296	8.4	0
516	296	8.5	0
517	296	8.6	0
517	296	8.7	0
543	232	8.8	0
487	241	8.9	0
487	241	9	0
533	240	9.1	0
513	241	9.2	0
509	244	9.3	0
511	258	9.4	0
512	259	9.5	0
512	269	9.6	0
513	279	9.7	0
513	289	9.8	0
513	290	9.9	0
513	291	10	0
513	291	10.1	0
513	291	10.2	0
513	292	10.3	0
513	294	10.4	0
513	295	10.5	0
514	297	10.6	0
514	297	10.7	0
514	297	10.8	0
514	297	10.9	0
514	297	11	0
514	297	11.1	0
514	297	11.2	0
515	297	11.3	0
515	297	11.4	0
515	297	11.5	0
515	297	11.6	0
515	297	11.7	0
515	297	11.8	0
515	297	11.9	0
515	297	12	0
515	297	12.1	0
515	297	12.2	0
515	297	12.3	0
515	297	12.4	0
515	297	12.5	0
515	297	12.6	0
515	297	12.7	0
515	297	12.8	0
515	288	12.9	0
515	288	13	0
515	260	13.1	0
513	214	13.2	0
513	206	13.3	0
513	196	13.4	0
513	194	13.5	0
514	176	13.6	0
515	170	13.7	0
517	150	13.8	0
518	134	13.9	0
519	130	14	0
520	122	14.1	0
522	115	14.2	0
522	111	14.3	0
523	93	14.4	0
525	88	14.5	0
525	84	14.6	0
525	79	14.7	0
525	73	14.8	0
525	72	14.9	0
525	68	15	0
526	66	15.1	0
526	64	15.2	0
526	64	15.3	0
527	58	15.4	0
527	57	15.5	0
527	57	15.6	0
527	57	15.7	0
527	57	15.8	0
527	57	15.9	0
527	57	16	0
526	64	16.1	0
525	64	16.2	0
525	64	16.3	0
525	64	16.4	0
525	64	16.5	0
525	64	16.6	0
525	64	16.7	0
525	64	16.8	0
525	64	16.9	0
527	63	17	0
530	59	17.1	0
530	59	17.2	0
530	59	17.3	0
531	57	17.4	0
531	56	17.5	0
531	56	17.6	0
531	56	17.7	0
531	56	17.8	0
531	56	17.9	0
531	55	18	0
531	55	18.1	0
531	55	18.2	0
531	55	18.3	0
531	55	18.4	0
531	55	18.5	0
531	55	18.6	0
531	58	18.7	0
531	68	18.8	0
530	79	18.9	0
530	85	19	0
530	131	19.1	0
530	131	19.2	0
530	133	19.3	0
530	142	19.4	0
530	143	19.5	0
530	157	19.6	0
529	164	19.7	0
528	166	19.8	0
528	167	19.9	0
528	171	20	0
528	174	20.1	0
528	181	20.2	0
528	181	20.3	0
528	193	20.4	0
528	215	20.5	0
528	231	20.6	0
528	231	20.7	0
528	244	20.8	0
526	248	20.9	0
526	255	21	0
526	261	21.1	0
526	267	21.2	0
526	276	21.3	0
526	288	21.4	0
525	290	21.5	0
525	293	21.6	0
525	293	21.7	0
525	294	21.8	0
525	297	21.9	0
525	297	22	0
525	297	22.1	0
525	299	22.2	0
525	299	22.3	0
525	301	22.4	0
524	303	22.5	0
524	311	22.6	0
524	311	22.7	0
524	311	22.8	0
524	311	22.9	0
524	311	23	0
524	311	23.1	0
524	311	23.2	0
524	311	23.3	0
524	311	23.4	0
524	311	23.5	0
524	306	23.6	0
526	288	23.7	0
529	274	23.8	0
551	246	23.9	0
569	232	24	0
591	210	24.1	0
597	191	24.2	0
601	179	24.3	0
611	155	24.4	0
615	141	24.5	0
619	123	24.6	0
622	105	24.7	0
623	95	24.8	0
627	75	24.9	0
636	57	25	0
643	49	25.1	0
645	47	25.2	0
647	45	25.3	0
647	45	25.4	0
647	45	25.5	0
647	45	25.6	0
648	43	25.7	0
648	43	25.8	0
648	43	25.9	0
648	42	26	0
627	41	26.1	0
627	41	26.2	0
627	41	26.3	0
627	41	26.4	0
627	42	26.5	0
627	36	26.6	0
627	36	26.7	0
627	36	26.8	0
627	36	26.9	0
629	34	27	0
631	31	27.1	0
634	29	27.2	0
634	29	27.3	0
634	29	27.4	0
632	13	27.5	0
631	7	27.6	0
631	7	27.7	0
631	7	27.8	0
631	7	27.9	0
631	7	28	0
631	7	28.1	0
631	7	28.2	0
631	7	28.3	0
631	7	28.4	0
631	7	28.5	0
631	7	28.6	0
631	7	28.7	0
631	7	28.8	0
631	7	28.9	0
631	7	29	0
631	7	29.1	0
631	7	29.2	0
631	7	29.3	0
631	7	29.4	0
631	7	29.5	0
631	7	29.6	0
631	7	29.7	0
631	7	29.8	0
631	7	29.9	0
631	7	30	0
631	7	30.1	0
631	7	30.2	0
631	7	30.3	0
631	7	30.4	0
631	7	30.5	0
631	7	30.6	0
631	7	30.7	0
631	7	30.8	0
631	7	30.9	0
631	7	31	0
631	7	31.1	0
631	7	31.2	0
631	7	31.3	0
631	7	31.4	0
631	7	31.5	0
631	7	31.6	0
631	7	31.7	0
631	7	31.8	0
631	7	31.9	0
631	9	32	0
631	9	32.1	0
631	10	32.2	0
631	11	32.3	0
631	11	32.4	0
631	11	32.5	0
631	11	32.6	0
631	11	32.7	0
631	11	32.8	0
631	11	32.9	0
631	11	33	0
631	11	33.1	0
631	11	33.2	0
631	11	33.3	0
631	11	33.4	0
631	11	33.5	0
631	11	33.6	0
631	11	33.7	0
631	11	33.8	0
631	11	33.9	0
631	11	34	0
631	11	34.1	0
631	11	34.2	0
631	11	34.3	0
631	11	34.4	0
631	14	34.5	0
631	18	34.6	0
631	27	34.7	0
629	59	34.8	0
618	85	34.9	0
594	112	35	0
592	114	35.1	0
592	114	35.2	0
592	114	35.3	0
592	114	35.4	0
592	114	35.5	0
592	114	35.6	0
592	114	35.7	0
592	114	35.8	0
593	113	35.9	0
593	110	36	0
594	107	36.1	0
594	104	36.2	0
595	100	36.3	0
596	98	36.4	0
598	96	36.5	0
601	95	36.6	0
601	95	36.7	0
601	94	36.8	0
603	94	36.9	0
603	94	37	0
603	94	37.1	0
603	94	37.2	0
603	94	37.3	0
603	94	37.4	0
603	94	37.5	0
603	94	37.6	0
603	94	37.7	0
603	94	37.8	0
603	94	37.9	0
603	94	38	0
603	94	38.1	0
603	94	38.2	0
603	94	38.3	0
603	94	38.4	0
603	94	38.5	0
603	94	38.6	0
603	94	38.7	0
603	94	38.8	0
603	94	38.9	0
604	94	39	0
604	94	39.1	0
604	94	39.2	0
604	94	39.3	0
604	94	39.4	0
604	95	39.5	0
604	95	39.6	0
604	95	39.7	0
601	98	39.8	0
600	100	39.9	0
599	101	40	0
599	101	40.1	0
599	101	40.2	0
599	101	40.3	0
599	101	40.4	0
599	101	40.5	0
599	101	40.6	0
599	101	40.7	0
599	101	40.8	0
599	101	40.9	0
599	101	41	0
599	101	41.1	0
599	101	41.2	0
599	101	41.3	0
599	101	41.4	0
597	103	41.5	0
597	103	41.6	0
596	104	41.7	0
593	108	41.8	0
589	122	41.9	0
587	128	42	0
587	129	42.1	0
586	139	42.2	0
586	156	42.3	0
585	160	42.4	0
584	164	42.5	0
582	168	42.6	0
581	173	42.7	0
581	175	42.8	0
579	193	42.9	0
579	194	43	0
579	194	43.1	0
579	194	43.2	0
579	194	43.3	0
574	206	43.4	0
573	222	43.5	0
572	227	43.6	0
571	230	43.7	0
566	246	43.8	0
566	248	43.9	0
566	248	44	0
567	234	44.1	0
575	202	44.2	0
575	202	44.3	0
579	178	44.4	0
584	144	44.5	0
587	131	44.6	0
588	127	44.7	0
590	116	44.8	0
591	110	44.9	0
592	105	45	0
595	91	45.1	0
600	71	45.2	0
600	69	45.3	0
602	59	45.4	0
603	55	45.5	0
604	51	45.6	0
605	47	45.7	0
606	44	45.8	0
607	43	45.9	0
607	42	46	0
607	41	46.1	0
607	41	46.2	0
608	39	46.3	0
608	39	46.4	0
608	39	46.5	0
610	37	46.6	0
611	37	46.7	0
611	37	46.8	0
611	37	46.9	0
611	37	47	0
612	37	47.1	0
614	36	47.2	0
614	36	47.3	0
614	36	47.4	0
615	35	47.5	0
615	35	47.6	0
616	35	47.7	0
616	35	47.8	0
616	35	47.9	0
616	35	48	0
619	35	48.1	0
620	35	48.2	0
630	35	48.3	0
632	35	48.4	0
640	37	48.5	0
652	40	48.6	0
652	42	48.7	0
656	51	48.8	0
660	55	48.9	0
674	61	49	0
684	63	49.1	0
685	64	49.2	0
687	65	49.3	0
688	66	49.4	0
696	72	49.5	0
698	72	49.6	0
698	72	49.7	0
708	75	49.8	0
708	75	49.9	0
708	75	50	0
708	75	50.1	0
708	83	50.2	0
710	91	50.3	0
710	96	50.4	0
710	113	50.5	0
709	117	50.6	0
708	119	50.7	0
705	127	50.8	0
705	128	50.9	0
703	133	51	0
701	139	51.1	0
699	144	51.2	0
696	158	51.3	0
695	162	51.4	0
695	162	51.5	0
695	164	51.6	0
694	168	51.7	0
693	171	51.8	0
693	173	51.9	0
691	178	52	0
690	180	52.1	0
690	180	52.2	0
690	180	52.3	0
690	180	52.4	0
690	180	52.5	0
690	180	52.6	0
690	180	52.7	0
690	180	52.8	0
690	180	52.9	0
690	180	53	0
690	180	53.1	0
690	180	53.2	0
690	180	53.3	0
690	180	53.4	0
690	180	53.5	0
690	180	53.6	0
690	180	53.7	0
690	180	53.8	0
690	180	53.9	0
690	180	54	0
690	180	54.1	0
690	180	54.2	0
690	180	54.3	0
690	180	54.4	0
690	181	54.5	0
690	181	54.6	0
688	184	54.7	0
688	184	54.8	0
688	184	54.9	0
688	184	55	0
688	184	55.1	0
686	188	55.2	0
684	206	55.3	0
683	214	55.4	0
673	225	55.5	0
663	238	55.6	0
649	248	55.7	0
633	270	55.8	0
621	280	55.9	0
616	282	56	0
613	286	56.1	0
611	289	56.2	0
605	299	56.3	0
594	303	56.4	0
594	303	56.5	0
593	304	56.6	0
593	304	56.7	0
593	304	56.8	0
593	304	56.9	0
591	304	57	0
591	304	57.1	0
589	305	57.2	0
589	306	57.3	0
588	309	57.4	0
587	310	57.5	0
587	310	57.6	0
587	310	57.7	0
587	310	57.8	0
587	310	57.9	0
587	310	58	0
587	310	58.1	0
587	310	58.2	0
587	310	58.3	0
587	310	58.4	0
587	310	58.5	0
587	310	58.6	0
587	310	58.7	0
587	310	58.8	0
587	310	58.9	0
587	310	59	0
587	310	59.1	0
587	310	59.2	0
587	310	59.3	0
587	310	59.4	0
587	310	59.5	0
587	310	59.6	0
587	310	59.7	0
587	310	59.8	0
587	310	59.9	0
587	310	60	0
587	310	60.1	0
587	310	60.2	0
587	310	60.3	0
587	310	60.4	0
587	310	60.5	0
587	310	60.6	0
587	310	60.7	0
587	310	60.8	0
587	310	60.9	0
587	310	61	0
587	310	61.1	0
587	310	61.2	0
587	310	61.3	0
587	310	61.4	0
587	310	61.5	0
587	310	61.6	0
587	310	61.7	0
587	310	61.8	0
587	310	61.9	0
587	310	62	0
587	310	62.1	0
587	310	62.2	0
587	310	62.3	0
587	310	62.4	0
587	310	62.5	0
587	310	62.6	0
587	310	62.7	0
587	310	62.8	0
587	310	62.9	0
587	310	63	0
588	310	63.1	0
588	310	63.2	0
588	310	63.3	0
588	310	63.4	0
588	310	63.5	0
588	310	63.6	0
588	310	63.7	0
588	310	63.8	0
589	295	63.9	0
590	294	64	0
590	294	64.1	0
590	294	64.2	0
590	295	64.3	0
590	295	64.4	0
592	295	64.5	0
595	297	64.6	0
595	297	64.7	0
595	297	64.8	0
595	297	64.9	0
595	297	65	0
595	297	65.1	0
601	296	65.2	0
603	294	65.3	0
607	294	65.4	0
612	293	65.5	0
617	293	65.6	0
622	292	65.7	0
627	292	65.8	0
632	291	65.9	0
633	290	66	0
634	290	66.1	0
634	290	66.2	0
634	289	66.3	0
634	289	66.4	0
634	289	66.5	0
634	289	66.6	0
634	289	66.7	0
634	289	66.8	0
634	289	66.9	0
634	289	67	0
634	289	67.1	0
634	289	67.2	0
634	289	67.3	0
634	289	67.4	0
634	289	67.5	0
634	289	67.6	0
634	289	67.7	0
634	289	67.8	0
634	289	67.9	0
634	289	68	0
632	289	68.1	0
632	289	68.2	0
632	289	68.3	0
632	289	68.4	0
632	289	68.5	0
632	289	68.6	0
631	289	68.7	0
631	290	68.8	0
631	290	68.9	0
630	290	69	0
630	290	69.1	0
630	290	69.2	0
630	290	69.3	0
630	290	69.4	0
630	290	69.5	0
630	290	69.6	0
630	290	69.7	0
630	290	69.8	0
629	290	69.9	0
629	290	70	0
628	290	70.1	0
628	290	70.2	0
628	290	70.3	0
628	290	70.4	0
628	290	70.5	0
628	290	70.6	0
628	290	70.7	0
628	290	70.8	0
626	291	70.9	0
625	292	71	0
625	293	71.1	0
625	293	71.2	0
625	293	71.3	0
625	293	71.4	0
624	293	71.5	0
623	294	71.6	0
622	295	71.7	0
622	296	71.8	0
622	297	71.9	0
622	298	72	0
622	298	72.1	0
621	302	72.2	0
621	305	72.3	0
621	305	72.4	0
621	305	72.5	0
621	305	72.6	0
625	305	72.7	0
629	305	72.8	0
630	305	72.9	0
630	305	73	0
630	305	73.1	0
630	305	73.2	0
633	304	73.3	0
634	304	73.4	0
635	303	73.5	0
651	300	73.6	0
655	297	73.7	0
655	297	73.8	0
665	293	73.9	0
666	292	74	0
667	292	74.1	0
671	290	74.2	0
677	289	74.3	0
678	288	74.4	0
682	286	74.5	0
683	286	74.6	0
683	286	74.7	0
683	286	74.8	0
683	286	74.9	0
683	286	75	0
683	286	75.1	0
683	286	75.2	0
683	286	75.3	0
680	287	75.4	0
680	287	75.5	0
679	287	75.6	0
677	288	75.7	0
673	289	75.8	0
670	291	75.9	0
670	291	76	0
662	294	76.1	0
662	295	76.2	0
659	297	76.3	0
656	300	76.4	0
653	304	76.5	0
653	304	76.6	0
651	305	76.7	0
649	308	76.8	0
648	311	76.9	0
648	311	77	0
648	311	77.1	0
647	313	77.2	0
645	315	77.3	0
644	318	77.4	0
643	319	77.5	0
643	320	77.6	0
643	320	77.7	0
643	320	77.8	0
642	321	77.9	0
639	324	78	0
634	325	78.1	0
628	331	78.2	0
626	333	78.3	0
622	337	78.4	0
614	348	78.5	0
610	351	78.6	0
607	353	78.7	0
604	355	78.8	0
604	355	78.9	0
603	356	79	0
589	369	79.1	0
589	369	79.2	0
589	369	79.3	0
589	369	79.4	0
589	369	79.5	0
589	369	79.6	0
589	369	79.7	0
589	369	79.8	0
589	369	79.9	0
589	369	80	0
589	369	80.1	0
589	369	80.2	0
589	369	80.3	0
589	369	80.4	0
589	369	80.5	0
589	369	80.6	0
589	369	80.7	0
589	369	80.8	0
589	369	80.9	0
589	369	81	0
589	369	81.1	0
589	369	81.2	0
589	369	81.3	0
589	369	81.4	0
590	369	81.5	0
590	369	81.6	0
591	369	81.7	0
593	368	81.8	0
593	368	81.9	0
593	368	82	0
593	367	82.1	0
593	367	82.2	0
593	367	82.3	0
593	367	82.4	0
593	367	82.5	0
593	367	82.6	0
593	367	82.7	0
593	367	82.8	0
593	367	82.9	0
595	366	83	0
596	364	83.1	0
597	364	83.2	0
597	364	83.3	0
599	363	83.4	0
604	362	83.5	0
608	361	83.6	0
612	359	83.7	0
613	359	83.8	0
614	358	83.9	0
615	358	84	0
615	358	84.1	0
618	357	84.2	0
620	356	84.3	0
621	356	84.4	0
621	356	84.5	0
611	356	84.6	0
604	356	84.7	0
600	357	84.8	0
599	357	84.9	0
596	358	85	0
592	361	85.1	0
590	361	85.2	0
589	362	85.3	0
582	364	85.4	0
581	364	85.5	0
581	364	85.6	0
581	364	85.7	0
581	364	85.8	0
581	364	85.9	0
581	364	86	0
581	364	86.1	0
581	364	86.2	0
581	364	86.3	0
581	357	86.4	0
580	340	86.5	0
579	333	86.6	0
578	333	86.7	0
578	333	86.8	0
574	325	86.9	0
574	325	87	0
574	325	87.1	0
573	324	87.2	0
568	321	87.3	0
563	317	87.4	0
560	315	87.5	0
558	315	87.6	0
551	313	87.7	0
550	313	87.8	0
549	313	87.9	0
540	311	88	0
525	311	88.1	0
