#EXP	Sun Feb 27 19:55:01 2000		
X	Y	TIME	CLICK
512	384	0	0
511	365	0.1	0
511	365	0.2	0
510	365	0.3	0
510	365	0.4	0
510	365	0.5	0
510	365	0.6	0
510	365	0.7	0
540	349	0.8	0
553	335	0.9	0
562	297	1	0
562	294	1.1	0
562	293	1.2	0
559	296	1.3	0
556	298	1.4	0
556	299	1.5	0
555	300	1.6	0
555	301	1.7	0
555	301	1.8	0
555	301	1.9	0
555	301	2	0
555	301	2.1	0
555	301	2.2	0
555	301	2.3	0
555	301	2.4	0
555	301	2.5	0
555	301	2.6	0
555	301	2.7	0
555	301	2.8	0
555	301	2.9	0
555	301	3	0
555	301	3.1	0
555	301	3.2	0
555	301	3.3	0
555	301	3.4	0
555	301	3.5	0
555	301	3.6	0
555	301	3.7	0
555	301	3.8	0
555	301	3.9	0
555	301	4	0
555	304	4.1	0
555	304	4.2	0
555	304	4.3	0
555	304	4.4	0
555	304	4.5	0
555	304	4.6	0
555	304	4.7	0
555	304	4.8	0
555	304	4.9	0
555	304	5	0
555	304	5.1	0
557	304	5.2	0
557	304	5.3	0
557	304	5.4	0
557	304	5.5	0
558	304	5.6	0
558	304	5.7	0
558	304	5.8	0
558	304	5.9	0
558	304	6	0
558	304	6.1	0
558	304	6.2	0
558	304	6.3	0
558	294	6.4	0
558	293	6.5	0
558	293	6.6	0
558	293	6.7	0
556	293	6.8	0
551	298	6.9	0
550	324	7	0
550	327	7.1	0
550	328	7.2	0
550	328	7.3	0
551	331	7.4	0
551	336	7.5	0
554	341	7.6	0
554	341	7.7	0
554	341	7.8	0
554	341	7.9	0
570	346	8	0
572	347	8.1	0
572	349	8.2	0
570	365	8.3	0
563	395	8.4	0
558	407	8.5	0
542	425	8.6	0
528	435	8.7	0
521	440	8.8	0
513	444	8.9	0
510	445	9	0
506	445	9.1	0
488	444	9.2	0
479	438	9.3	0
477	424	9.4	0
472	398	9.5	0
471	392	9.6	0
456	377	9.7	0
455	376	9.8	0
455	354	9.9	0
458	330	10	0
473	298	10.1	0
489	288	10.2	0
491	287	10.3	0
494	287	10.4	0
520	297	10.5	0
543	310	10.6	0
551	313	10.7	0
567	328	10.8	0
568	330	10.9	0
568	335	11	0
568	340	11.1	0
569	341	11.2	0
569	363	11.3	0
570	397	11.4	0
570	421	11.5	0
568	429	11.6	0
566	431	11.7	0
560	436	11.8	0
549	442	11.9	0
536	448	12	0
525	453	12.1	0
519	455	12.2	0
514	456	12.3	0
490	456	12.4	0
474	456	12.5	0
461	456	12.6	0
461	455	12.7	0
460	448	12.8	0
457	432	12.9	0
457	414	13	0
457	408	13.1	0
457	380	13.2	0
457	365	13.3	0
457	343	13.4	0
458	329	13.5	0
462	324	13.6	0
466	321	13.7	0
471	318	13.8	0
495	313	13.9	0
502	310	14	0
514	309	14.1	0
520	309	14.2	0
530	309	14.3	0
550	311	14.4	0
572	330	14.5	0
574	336	14.6	0
576	358	14.7	0
576	380	14.8	0
576	390	14.9	0
576	395	15	0
573	400	15.1	0
570	410	15.2	0
567	414	15.3	0
563	419	15.4	0
560	424	15.5	0
555	430	15.6	0
554	432	15.7	0
550	434	15.8	0
544	435	15.9	0
532	439	16	0
500	469	16.1	0
489	473	16.2	0
481	473	16.3	0
472	473	16.4	0
470	464	16.5	0
468	434	16.6	0
453	402	16.7	0
423	370	16.8	0
417	362	16.9	0
418	336	17	0
424	306	17.1	0
431	291	17.2	0
447	284	17.3	0
455	280	17.4	0
473	276	17.5	0
495	276	17.6	0
507	275	17.7	0
516	274	17.8	0
526	274	17.9	0
550	273	18	0
574	271	18.1	0
586	271	18.2	0
591	271	18.3	0
592	279	18.4	0
599	290	18.5	0
598	304	18.6	0
595	311	18.7	0
594	314	18.8	0
593	317	18.9	0
593	319	19	0
593	325	19.1	0
603	342	19.2	0
603	343	19.3	0
605	344	19.4	0
619	344	19.5	0
657	353	19.6	0
705	367	19.7	0
719	367	19.8	0
735	354	19.9	0
743	304	20	0
744	278	20.1	0
744	258	20.2	0
723	230	20.3	0
704	200	20.4	0
674	188	20.5	0
646	185	20.6	0
632	183	20.7	0
604	182	20.8	0
588	181	20.9	0
570	181	21	0
548	184	21.1	0
518	196	21.2	0
486	208	21.3	0
474	210	21.4	0
462	211	21.5	0
442	216	21.6	0
419	232	21.7	0
416	252	21.8	0
416	264	21.9	0
413	267	22	0
401	273	22.1	0
396	283	22.2	0
392	292	22.3	0
376	312	22.4	0
359	332	22.5	0
357	332	22.6	0
354	336	22.7	0
