#EXP	Wed Mar 01 19:53:34 2000		
X	Y	TIME	CLICK
400	300	0	0
400	276	0.1	0
403	269	0.2	0
404	245	0.3	0
404	189	0.4	0
369	139	0.5	0
361	133	0.6	0
361	133	0.7	0
361	133	0.8	0
361	134	0.9	0
361	134	1	0
361	134	1.1	0
361	135	1.2	0
360	168	1.3	0
360	168	1.4	0
348	174	1.5	0
346	175	1.6	0
346	176	1.7	0
350	177	1.8	0
351	180	1.9	0
351	180	2	0
351	180	2.1	0
351	180	2.2	0
351	180	2.3	0
351	180	2.4	0
351	181	2.5	0
351	201	2.6	0
353	206	2.7	0
373	217	2.8	0
385	218	2.9	0
386	220	3	0
386	226	3.1	0
386	263	3.2	0
387	271	3.3	0
397	271	3.4	0
397	271	3.5	0
397	271	3.6	0
397	270	3.7	0
395	264	3.8	0
395	264	3.9	0
395	264	4	0
395	264	4.1	0
395	264	4.2	0
395	264	4.3	0
395	264	4.4	0
395	264	4.5	0
396	264	4.6	0
396	264	4.7	0
396	264	4.8	0
396	264	4.9	0
396	264	5	0
396	264	5.1	0
399	264	5.2	0
413	268	5.3	0
415	268	5.4	0
414	261	5.5	0
374	229	5.6	0
332	223	5.7	0
322	220	5.8	0
322	220	5.9	0
322	220	6	0
322	220	6.1	0
322	220	6.2	0
322	220	6.3	0
322	220	6.4	0
322	220	6.5	0
322	220	6.6	0
322	220	6.7	0
322	220	6.8	0
322	220	6.9	0
322	220	7	0
322	220	7.1	0
322	220	7.2	0
322	220	7.3	0
322	220	7.4	0
322	220	7.5	0
322	220	7.6	0
322	220	7.7	0
322	220	7.8	0
322	220	7.9	0
322	220	8	0
322	220	8.1	0
322	220	8.2	0
322	220	8.3	0
322	220	8.4	0
322	220	8.5	0
322	220	8.6	0
322	220	8.7	0
322	220	8.8	0
322	220	8.9	0
322	220	9	0
322	220	9.1	0
322	220	9.2	0
322	220	9.3	0
322	220	9.4	0
322	220	9.5	0
322	220	9.6	0
322	220	9.7	0
322	220	9.8	0
322	220	9.9	0
322	220	10	0
322	220	10.1	0
322	220	10.2	0
