#EXP	Fri Oct 04 18:04:05 2013
A test only  for regmouse
"X"	"Y"	"TIME"	"CLICK"	
960	540	0	0
979	533	0.1	0
1214	608	0.2	0
1219	609	0.3	0
1219	609	0.4	0
1219	609	0.5	0
1219	609	0.6	0
1219	609	0.7	0
1219	609	0.8	0
1219	609	0.9	0
1219	609	1	0
1489	582	1.1	0
1869	606	1.2	0
1869	606	1.3	0
1869	606	1.4	0
1869	606	1.5	0
1869	606	1.6	0
1869	606	1.7	0
1869	606	1.8	0
1869	606	1.9	0
1869	606	2	0
1869	606	2.1	0
1869	606	2.2	0
1869	606	2.3	0
1645	510	2.4	0
691	309	2.5	0
468	319	2.6	0
428	415	2.7	0
570	454	2.8	0
1005	179	2.9	0
1124	121	3	0
1522	18	3.1	0
1560	12	3.2	0
1560	12	3.3	0
1304	211	3.4	0
1222	296	3.5	0
1201	414	3.6	0
1259	610	3.7	0
1292	653	3.8	0
1060	781	3.9	0
785	810	4	0
679	668	4.1	0
671	233	4.2	0
825	173	4.3	0
1135	238	4.4	0
1209	433	4.5	0
1349	456	4.6	0
1389	308	4.7	0
1340	262	4.8	0
1292	295	4.9	0
1285	310	5	0
1285	308	5.1	0
1285	308	5.2	0
1268	305	5.3	0
1120	271	5.4	0
1047	250	5.5	0
982	221	5.6	0
894	212	5.7	0
885	212	5.8	0
885	212	5.9	0
885	212	6	0
886	210	6.1	0
890	206	6.2	0
891	206	6.3	0
949	269	6.4	0
969	299	6.5	0
955	309	6.6	0
886	337	6.7	0
785	399	6.8	0
652	486	6.9	0
536	574	7	0
464	656	7.1	0
482	739	7.2	0
536	782	7.3	0
635	814	7.4	0
723	803	7.5	0
804	790	7.6	0
867	763	7.7	0
988	663	7.8	0
1001	543	7.9	0
830	477	8	0
796	437	8.1	0
857	329	8.2	0
963	284	8.3	0
1083	269	8.4	0
1136	302	8.5	0
1161	341	8.6	0
1175	390	8.7	0
1131	501	8.8	0
1131	602	8.9	0
1282	642	9	0
1425	606	9.1	0
1555	405	9.2	0
1517	318	9.3	0
1450	330	9.4	0
1505	390	9.5	0
1568	387	9.6	0
1566	269	9.7	0
1365	230	9.8	0
1174	357	9.9	0
1150	496	10	0
1054	574	10.1	0
934	660	10.2	0
850	675	10.3	0
732	601	10.4	0
734	427	10.5	0
835	343	10.6	0
950	382	10.7	0
1029	520	10.8	0
1101	637	10.9	0
1330	587	11	0
1380	354	11.1	0
1141	235	11.2	0
907	339	11.3	0
775	473	11.4	0
760	568	11.5	0
931	690	11.6	0
1036	725	11.7	0
1118	675	11.8	0
1155	489	11.9	0
1119	402	12	0
1046	391	12.1	0
912	452	12.2	0
829	530	12.3	0
723	596	12.4	0
610	597	12.5	0
467	529	12.6	0
431	416	12.7	0
512	321	12.8	0
690	347	12.9	0
689	503	13	0
723	643	13.1	0
972	716	13.2	0
1126	719	13.3	0
1271	618	13.4	0
1293	371	13.5	0
1023	266	13.6	0
785	462	13.7	0
789	596	13.8	0
967	667	13.9	0
1124	635	14	0
1184	505	14.1	0
1079	435	14.2	0
896	494	14.3	0
852	572	14.4	0
1008	687	14.5	0
1157	655	14.6	0
1262	482	14.7	0
1412	300	14.8	0
1487	286	14.9	0
1688	457	15	0
1749	622	15.1	0
1666	710	15.2	0
1602	627	15.3	0
1549	501	15.4	0
1463	429	15.5	0
1418	418	15.6	0
1338	493	15.7	0
1283	591	15.8	0
1207	705	15.9	0
1108	780	16	0
1050	809	16.1	0
966	820	16.2	0
837	812	16.3	0
685	775	16.4	0
614	705	16.5	0
575	530	16.6	0
705	420	16.7	0
895	382	16.8	0
1162	361	16.9	0
1428	296	17	0
1386	157	17.1	0
1158	130	17.2	0
1046	183	17.3	0
1028	228	17.4	0
1003	243	17.5	0
596	160	17.6	0
434	214	17.7	0
275	384	17.8	0
408	418	17.9	0
647	100	18	0
827	56	18.1	0
1212	157	18.2	0
1125	299	18.3	0
1145	420	18.4	0
1324	502	18.5	0
1178	642	18.6	0
738	789	18.7	0
504	854	18.8	0
532	977	18.9	0
745	968	19	0
1012	886	19.1	0
1113	797	19.2	0
1046	505	19.3	0
813	353	19.4	0
838	117	19.5	0
1379	116	19.6	0
1496	280	19.7	0
929	593	19.8	0
1230	779	19.9	0
1312	781	20	0
1312	818	20.1	0
1373	718	20.2	0
1483	449	20.3	0
1188	402	20.4	0
1365	403	20.5	0
1548	329	20.6	0
1538	318	20.7	0
1538	318	20.8	0
1538	318	20.9	0
1538	318	21	0
1538	318	21.1	0
1538	318	21.2	0
1538	318	21.3	0
1538	318	21.4	0
1538	318	21.5	0
1538	318	21.6	0
