#EXP	Thu Feb 20 12:03:45 1997
Test programu regmouse 1.02.1997
"X"	"Y"	"TIME"	"CLICK"	
400	300	0	0
400	281	0.1	0
400	281	0.2	0
400	281	0.3	0
400	281	0.4	0
400	281	0.5	0
400	281	0.6	0
400	281	0.7	0
400	281	0.8	0
400	281	0.9	0
400	281	1	0
400	281	1.1	0
400	281	1.2	0
400	281	1.3	0
400	281	1.4	0
400	281	1.5	0
396	284	1.6	0
327	200	1.7	0
93	14	1.8	0
93	14	1.9	0
93	14	2	0
93	14	2.1	0
93	14	2.2	0
93	14	2.3	0
93	14	2.4	0
15	3	2.5	0
15	3	2.6	0
37	18	2.7	0
183	114	2.8	0
397	300	2.9	0
493	358	3	0
587	418	3.1	0
632	434	3.2	0
468	290	3.3	0
250	130	3.4	0
152	32	3.5	0
120	4	3.6	0
88	0	3.7	0
9	0	3.8	0
8	0	3.9	0
5	2	4	0
5	2	4.1	0
0	0	4.2	0
0	0	4.3	0
0	0	4.4	0
0	0	4.5	0
0	0	4.6	0
0	0	4.7	0
0	0	4.8	0
0	0	4.9	0
0	0	5	0
0	0	5.1	0
0	0	5.2	0
0	0	5.3	0
0	0	5.4	0
0	0	5.5	0
0	0	5.6	0
0	0	5.7	0
0	0	5.8	0
0	0	5.9	0
0	0	6	0
0	0	6.1	0
0	0	6.2	0
0	0	6.3	0
0	0	6.4	0
0	0	6.5	0
0	1	6.6	0
0	1	6.7	0
0	1	6.8	0
0	1	6.9	0
0	1	7	0
0	1	7.1	0
0	1	7.2	0
0	1	7.3	0
0	0	7.4	0
0	0	7.5	0
0	0	7.6	0
0	0	7.7	0
0	0	7.8	0
0	0	7.9	0
0	0	8	0
0	0	8.1	0
0	0	8.2	0
0	0	8.3	0
0	0	8.4	0
0	0	8.5	0
0	0	8.6	0
0	0	8.7	0
0	0	8.8	0
21	0	8.9	0
22	0	9	0
22	1	9.1	0
22	1	9.2	0
22	1	9.3	0
22	1	9.4	0
22	1	9.5	0
22	1	9.6	0
22	1	9.7	0
22	1	9.8	0
22	1	9.9	0
22	1	10	0
